btc_height,btc_hash,in_upstream,first_seen_chain
374611,000000000000000008373c8cd8caf49c31ace7162f3387df65e488118fbba986,no,
376531,0000000000000000053a2646bba33979619bc37a22be86b26a88d85e16305546,yes,namecoin
377993,00000000000000000088986ef8224a37d5448b27224e9634a35e1e14af81c2f2,no,
379454,000000000000000010e2e74380cf4a4874437ed2fb35f8a11b233c1ab09b6713,yes,namecoin
379924,0000000000000000011bf0d411f64a5c4d9c1abad8c5d1c9b1b974af7fc79b7a,yes,namecoin
388181,000000000000000006c6918b4a143bf43c866737facd5ce5b9f294c6c888db85,yes,namecoin
388953,00000000000000000b7fb66b80f7a02517b50327a56a4ad0d6357d88d348dec4,yes,namecoin
393636,0000000000000000013dd087c1a4636a393dcd09f132a5dd380dbe803d10853e,yes,namecoin
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,yes,namecoin
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,no,i0coin
482910,000000000000000000ccafc5477e199fb98ebf501a258cfc246a989160b52a5f,yes,namecoin
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,no,i0coin
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,yes,i0coin
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,no,i0coin
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,no,
521694,0000000000000000002296da272a0a6ca7597819a5a7f8460c12daa411209eab,no,devcoin
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,no,devcoin
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,yes,namecoin
532489,00000000000000000002c993cd9e9b3af3da6c921b5f61765406e1e4c980e674,no,devcoin
535495,000000000000000000115e2f370fad2516f8c847f339044ddd3e2da8555ad168,yes,namecoin
536375,0000000000000000001b28064cfbc118875239f2f9f8dbd82f60fb6055029e61,no,devcoin
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,no,devcoin
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,yes,namecoin
541971,0000000000000000002074841ea64035c7689a657bf57abfebf05c2dab8076e6,yes,namecoin
555155,0000000000000000002fa73d58dbc421939796bc370af1ece833f2d1ff2fdca3,no,devcoin
556976,00000000000000000004b7c8cd40132c94085abc0bf2448c1696788fb1ac5460,no,devcoin
565106,00000000000000000028f07e327704f901b4235cd5ca5dbb1cda979e2bc091cd,yes,
573380,0000000000000000001cadc54b0486649ddb0e2b7e36c97ae4e1e6a26e1e05df,no,devcoin
574287,00000000000000000020d41cb0805977d7f4446684867183f2baf8f0c10ce867,no,devcoin
575695,0000000000000000002409ed07fdbb1d0359a0c516014115c5451aea724baec8,yes,devcoin
578123,00000000000000000010fe8e49ae527e56b127f60b9e3135fd4499adb900025a,yes,namecoin
589508,0000000000000000000bb81a2063db16d47ed3c0dcb7000d437abb81a2cb8f0d,no,devcoin
597567,00000000000000000001426527cb1d50ef29977ee242330a6b5149e1bceea29f,no,devcoin
607673,0000000000000000000fac4555d885511f322497c2f44c6e3db90057f5cfb463,no,devcoin
614601,0000000000000000000cd4fe0479cad63e7eb6df154c28dec9d7ed37a510bfbf,no,devcoin
623024,000000000000000000071cf6bc3703bb4dc24d4a43ceff3a0e6ac86cb74b1b91,no,devcoin
633898,00000000000000000006e4f72bf9dda0ee692a4f36bc3562eeae3c259ea449e6,yes,devcoin
641922,00000000000000000006392caf6a894d98483b36f1e057e2a2377ef9db367d23,yes,namecoin
642522,000000000000000000036f762effd9c6879299d358ac41ceb0f445ddb1eda495,no,devcoin
642669,00000000000000000007959607cb8aa17386a665f0caabdb4e8b69deb635d259,no,devcoin
643109,0000000000000000000d2f399065ee9be3150a37fd6c9ee1676a7688862ae2fd,yes,devcoin
645179,00000000000000000004c1baa2412fd31eb75bbe79def4f66ef97e0e15a20668,yes,devcoin
