btc_height,btc_hash,in_upstream,first_seen_chain
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,yes,namecoin
470447,0000000000000000018b2dbe2f0a2531eabfe41721f452fffa2052775e6e30e3,no,crown
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,no,i0coin
482910,000000000000000000ccafc5477e199fb98ebf501a258cfc246a989160b52a5f,yes,namecoin
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,no,i0coin
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,yes,i0coin
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,no,i0coin
484431,000000000000000000ecb95232f1b6c3c4fb8569b2559f7d37936343e069895f,no,i0coin
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,no,unobtanium
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,yes,namecoin
487620,00000000000000000010f39ece8463f3e54a1da969c591c0afd1196dbccf339c,no,crown
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,no,devcoin
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,yes,namecoin
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,no,devcoin
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,yes,namecoin
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,no,crown
555155,0000000000000000002fa73d58dbc421939796bc370af1ece833f2d1ff2fdca3,no,devcoin
556976,00000000000000000004b7c8cd40132c94085abc0bf2448c1696788fb1ac5460,no,devcoin
557619,00000000000000000029ebab8bd47d86043309823f5f1577d881395f292b075a,no,devcoin
574287,00000000000000000020d41cb0805977d7f4446684867183f2baf8f0c10ce867,no,devcoin
575695,0000000000000000002409ed07fdbb1d0359a0c516014115c5451aea724baec8,yes,devcoin
579169,0000000000000000000705b5fb5ffadd8bb33bb8e7b0cfd6c9c295fe9267e992,yes,namecoin
586151,00000000000000000017a3d0245aaf6ea57a78d4cb2f7f61c4e07664105e3407,no,devcoin
589508,0000000000000000000bb81a2063db16d47ed3c0dcb7000d437abb81a2cb8f0d,no,devcoin
597567,00000000000000000001426527cb1d50ef29977ee242330a6b5149e1bceea29f,no,devcoin
607673,0000000000000000000fac4555d885511f322497c2f44c6e3db90057f5cfb463,no,devcoin
614601,0000000000000000000cd4fe0479cad63e7eb6df154c28dec9d7ed37a510bfbf,no,devcoin
623024,000000000000000000071cf6bc3703bb4dc24d4a43ceff3a0e6ac86cb74b1b91,no,devcoin
628490,0000000000000000000f18592c64fbb62fdc29795c47c70478f38b548d2fd3b3,yes,namecoin
633898,00000000000000000006e4f72bf9dda0ee692a4f36bc3562eeae3c259ea449e6,yes,devcoin
642522,000000000000000000036f762effd9c6879299d358ac41ceb0f445ddb1eda495,no,devcoin
642669,00000000000000000007959607cb8aa17386a665f0caabdb4e8b69deb635d259,no,devcoin
643109,0000000000000000000d2f399065ee9be3150a37fd6c9ee1676a7688862ae2fd,yes,devcoin
645179,00000000000000000004c1baa2412fd31eb75bbe79def4f66ef97e0e15a20668,yes,devcoin
