btc_height,btc_hash,in_upstream,first_seen_chain
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,yes,namecoin
469190,00000000000000000052b9bb3bc30c6975e66b8aa43573273d314db861b52b08,no,
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
473586,0000000000000000013b4569d28866fd10dbd45ed43725b9785bd8749c1f6c7f,yes,namecoin
478785,000000000000000000e561aa2044185e63b046c718c8894a8a8dbba77b4fb9c3,yes,
478964,0000000000000000008148a70446c0a8de95380de581260d071a64fee21fc347,no,
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,no,i0coin
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,no,i0coin
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,yes,i0coin
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,yes,namecoin
488580,000000000000000000581c04dbb1e21e48dfa910009f3eb5e896fec45a58fedb,yes,namecoin
489018,00000000000000000066540de16a5bbcdcca147b86af957832285a20e6c33f43,no,
493930,00000000000000000065c209d774cef33d906a44102c7c0119c27dff32c34b9a,yes,namecoin
493957,0000000000000000007738824e13b4ea73a5f4600e1e9a414439a654325e7149,yes,namecoin
493960,0000000000000000006bca231cc31a4df54c9b0b9cf03bdeb3408bb787aa51f6,yes,namecoin
493967,000000000000000000781c613e19c52be0fce198e18bb6039f5656826e28add8,yes,namecoin
494120,0000000000000000005eebfcd965ce6655d84580779e53b3f60f4bb877423b07,yes,namecoin
494144,0000000000000000006857fd1f8669536b61e34158dc286122ca5d8ae680114a,yes,namecoin
497837,0000000000000000002bfbfeb22d696cc4361cc96945b3397e5fc86c55f9fc48,no,
498307,0000000000000000000a8a698474460c625e612272242b806265444fb588c7ab,no,
503839,000000000000000000604325382f569da26fca365c7bdbb0de8bd12da4c86d4f,yes,namecoin
504461,0000000000000000001705879f3be92385abd12b026e3b12cafb326a90fb261c,yes,namecoin
504952,00000000000000000015c30099593e9b5e974af1d27b7b49910856e3434401cc,yes,namecoin
508169,00000000000000000000344049294a84262d660afba88297c770a5c183c4db4a,no,myriadcoin
508270,00000000000000000035e3e4cb727262a51f2e814914d2b2fcd4e89dd1b0f4bd,yes,crown
509239,00000000000000000044f109cd547566f3b756538d80b5b7017a584ef812ba87,no,myriadcoin
509677,000000000000000000412393430df277b1c5210db7f33bb1bf1babdce10e2034,no,crown
515256,0000000000000000003f46592dc0e914390890be733769416e3d82b7009ea8f8,yes,crown
516557,00000000000000000039a209de03bddc721668ac19df3ffc39c0dba63bf364a9,no,
521694,0000000000000000002296da272a0a6ca7597819a5a7f8460c12daa411209eab,no,devcoin
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,no,devcoin
527337,00000000000000000017c11ceab093acf493f685b5354755e8f8b16bf52da36a,no,
530336,00000000000000000003a5422102c367e74168f0c695f2e3a04aca01bca283d6,yes,
532489,00000000000000000002c993cd9e9b3af3da6c921b5f61765406e1e4c980e674,no,devcoin
535495,000000000000000000115e2f370fad2516f8c847f339044ddd3e2da8555ad168,yes,namecoin
536375,0000000000000000001b28064cfbc118875239f2f9f8dbd82f60fb6055029e61,no,devcoin
538885,000000000000000000144247137b6bddeeca782dbf47ca36ff195d37f4d3aa2d,no,
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,yes,namecoin
543182,0000000000000000000c632f114778b3a34e2a00087d21cf658b6747eeed4015,yes,namecoin
543892,000000000000000000082fd7cff6b97ba03405ec723b3649658d270a4ff12a9b,no,
